As of,Rank,Last_Week_Rank,Title,Type_of_Film,Netflix_Exclusive,Netflix_Release_Date,Days_In_Top_10,Viewership_Score
4/1/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,9,90
4/1/20,2,-,Ozark,TV Show,Yes,21-Jul-17,5,45
4/1/20,3,2,All American,TV Show,,28-Mar-19,9,76
4/1/20,4,-,Blood Father,Movie,,26-Mar-20,5,30
4/1/20,5,4,The Platform,Movie,Yes,20-Mar-20,9,55
4/1/20,6,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,4,14
4/1/20,7,-,Unorthodox,TV Show,Yes,26-Mar-20,2,5
4/1/20,8,5,Love is Blind,TV Show,Yes,13-Feb-20,9,40
4/1/20,9,-,Badland,Movie,,26-Mar-20,4,11
4/1/20,10,-,Uncorked,Movie,Yes,27-Mar-20,4,15
4/2/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,10,100
4/2/20,2,-,Ozark,TV Show,Yes,21-Jul-17,6,54
4/2/20,3,2,All American,TV Show,,28-Mar-19,10,84
4/2/20,4,-,Nailed It!,TV Show,Yes,9-Mar-18,1,7
4/2/20,5,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,1,6
4/2/20,6,-,Blood Father,Movie,,26-Mar-20,6,35
4/2/20,7,-,The Roommate,Movie,,1-Apr-20,1,4
4/2/20,8,-,Unorthodox,TV Show,Yes,26-Mar-20,3,8
4/2/20,9,4,The Platform,Movie,Yes,20-Mar-20,10,57
4/2/20,10,-,Car Masters: Rust to Riches,TV Show,Yes,14-Sep-18,5,15
4/3/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,11,110
4/3/20,2,-,Ozark,TV Show,Yes,21-Jul-17,7,63
4/3/20,3,2,All American,TV Show,,28-Mar-19,11,92
4/3/20,4,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,2,13
4/3/20,5,-,Nailed It!,TV Show,Yes,9-Mar-18,2,13
4/3/20,6,-,The Roommate,Movie,,1-Apr-20,2,9
4/3/20,7,-,Unorthodox,TV Show,Yes,26-Mar-20,4,12
4/3/20,8,-,The Players Club,Movie,,1-Apr-20,1,3
4/3/20,9,-,Salt,Movie,,1-Apr-20,1,2
4/3/20,10,-,Blood Father,Movie,,26-Mar-20,7,36
4/4/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,12,120
4/4/20,2,2,Ozark,TV Show,Yes,21-Jul-17,8,72
4/4/20,3,-,Money Heist,TV Show,Yes,20-Dec-17,1,8
4/4/20,4,3,All American,TV Show,,28-Mar-19,12,99
4/4/20,5,-,Coffee & Kareem,Movie,Yes,3-Apr-20,1,6
4/4/20,6,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,3,18
4/4/20,7,-,The Roommate,Movie,,1-Apr-20,3,13
4/4/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,3,16
4/4/20,9,-,Unorthodox,TV Show,Yes,26-Mar-20,5,14
4/4/20,10,-,The Players Club,Movie,,1-Apr-20,2,4
4/5/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,13,130
4/5/20,2,2,Ozark,TV Show,Yes,21-Jul-17,9,81
4/5/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,2,14
4/5/20,4,-,Money Heist,TV Show,Yes,20-Dec-17,2,15
4/5/20,5,3,All American,TV Show,,28-Mar-19,13,105
4/5/20,6,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,4,23
4/5/20,7,-,Nailed It!,TV Show,Yes,9-Mar-18,4,20
4/5/20,8,-,The Roommate,Movie,,1-Apr-20,4,16
4/5/20,9,-,Angel Has Fallen,Movie,,4-Apr-20,1,2
4/5/20,10,-,Unorthodox,TV Show,Yes,26-Mar-20,6,15
4/6/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,14,140
4/6/20,2,2,Ozark,TV Show,Yes,21-Jul-17,10,90
4/6/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,3,22
4/6/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,2,9
4/6/20,5,-,Money Heist,TV Show,Yes,20-Dec-17,3,21
4/6/20,6,3,All American,TV Show,,28-Mar-19,14,110
4/6/20,7,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,5,27
4/6/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,5,23
4/6/20,9,-,The Roommate,Movie,,1-Apr-20,5,18
4/6/20,10,-,The Hangover,Movie,,1-Jul-19,1,1
4/7/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,15,150
4/7/20,2,2,Ozark,TV Show,Yes,21-Jul-17,11,99
4/7/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,4,30
4/7/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,3,16
4/7/20,5,-,Money Heist,TV Show,Yes,20-Dec-17,4,27
4/7/20,6,3,All American,TV Show,,28-Mar-19,15,115
4/7/20,7,-,The Big Show Show,TV Show,Yes,6-Apr-20,1,4
4/7/20,8,-,Nailed It!,TV Show,Yes,9-Mar-18,6,26
4/7/20,9,-,How to Fix a Drug Scandal,TV Show,Yes,1-Apr-20,6,29
4/7/20,10,-,Legacies,TV Show,,5-Apr-19,1,1
4/8/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,16,160
4/8/20,2,2,Ozark,TV Show,Yes,21-Jul-17,12,108
4/8/20,3,-,Coffee & Kareem,Movie,Yes,3-Apr-20,5,38
4/8/20,4,-,The Big Show Show,TV Show,Yes,6-Apr-20,2,11
4/8/20,5,-,Angel Has Fallen,Movie,,4-Apr-20,4,22
4/8/20,6,-,Money Heist,TV Show,Yes,20-Dec-17,5,32
4/8/20,7,3,All American,TV Show,,28-Mar-19,16,119
4/8/20,8,-,Legacies,TV Show,,5-Apr-19,2,4
4/8/20,9,-,Nailed It!,TV Show,Yes,9-Mar-18,7,28
4/8/20,10,-,The Hangover,Movie,,1-Jul-19,2,2
4/9/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,17,170
4/9/20,2,2,Ozark,TV Show,Yes,21-Jul-17,13,117
4/9/20,3,-,The Big Show Show,TV Show,Yes,6-Apr-20,3,19
4/9/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,5,29
4/9/20,5,-,Coffee & Kareem,Movie,Yes,3-Apr-20,6,44
4/9/20,6,-,Money Heist,TV Show,Yes,20-Dec-17,6,37
4/9/20,7,3,All American,TV Show,,28-Mar-19,17,123
4/9/20,8,-,Legacies,TV Show,,5-Apr-19,3,7
4/9/20,9,4,Nailed It!,TV Show,Yes,9-Mar-18,8,30
4/9/20,10,-,The Hangover,Movie,,1-Jul-19,3,3
4/10/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,18,180
4/10/20,2,2,Ozark,TV Show,Yes,21-Jul-17,14,126
4/10/20,3,-,The Big Show Show,TV Show,Yes,6-Apr-20,4,27
4/10/20,4,-,Angel Has Fallen,Movie,,4-Apr-20,6,36
4/10/20,5,-,Money Heist,TV Show,Yes,20-Dec-17,7,43
4/10/20,6,3,All American,TV Show,,28-Mar-19,18,128
4/10/20,7,-,Coffee & Kareem,Movie,Yes,3-Apr-20,7,48
4/10/20,8,-,Legacies,TV Show,,5-Apr-19,4,10
4/10/20,9,5,Nailed It!,TV Show,Yes,9-Mar-18,9,32
4/10/20,10,-,Community,TV Show,,1-Apr-20,1,1
4/11/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,19,190
4/11/20,2,2,Ozark,TV Show,Yes,21-Jul-17,15,135
4/11/20,3,-,Angel Has Fallen,Movie,,4-Apr-20,7,44
4/11/20,4,-,The Big Show Show,TV Show,Yes,6-Apr-20,5,34
4/11/20,5,3,Money Heist,TV Show,Yes,20-Dec-17,8,49
4/11/20,6,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,1,5
4/11/20,7,4,All American,TV Show,,28-Mar-19,19,132
4/11/20,8,5,Coffee & Kareem,Movie,Yes,3-Apr-20,8,51
4/11/20,9,-,Legacies,TV Show,,5-Apr-19,5,12
4/11/20,10,8,Nailed It!,TV Show,Yes,9-Mar-18,10,33
4/12/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,20,200
4/12/20,2,2,Ozark,TV Show,Yes,21-Jul-17,16,144
4/12/20,3,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,2,13
4/12/20,4,9,Angel Has Fallen,Movie,,4-Apr-20,8,51
4/12/20,5,-,The Big Show Show,TV Show,Yes,6-Apr-20,6,40
4/12/20,6,4,Money Heist,TV Show,Yes,20-Dec-17,9,54
4/12/20,7,-,Code 8,Movie,,11-Apr-20,1,4
4/12/20,8,5,All American,TV Show,,28-Mar-19,20,135
4/12/20,9,-,Legacies,TV Show,,5-Apr-19,6,14
4/12/20,10,-,Community,TV Show,,1-Apr-20,2,2
4/13/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,21,210
4/13/20,2,-,Code 8,Movie,,11-Apr-20,2,13
4/13/20,3,2,Ozark,TV Show,Yes,21-Jul-17,17,152
4/13/20,4,4,Angel Has Fallen,Movie,,4-Apr-20,9,58
4/13/20,5,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,3,19
4/13/20,6,5,Money Heist,TV Show,Yes,20-Dec-17,10,59
4/13/20,7,-,Hop,Movie,,16-Jan-20,1,4
4/13/20,8,-,The Big Show Show,TV Show,Yes,6-Apr-20,7,43
4/13/20,9,6,All American,TV Show,,28-Mar-19,21,137
4/13/20,10,-,The Main Event,Movie,Yes,10-Apr-20,1,1
4/14/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,22,220
4/14/20,2,2,Ozark,TV Show,Yes,21-Jul-17,18,161
4/14/20,3,-,Code 8,Movie,,11-Apr-20,3,21
4/14/20,4,5,Money Heist,TV Show,Yes,20-Dec-17,11,66
4/14/20,5,6,All American,TV Show,,28-Mar-19,22,143
4/14/20,6,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,4,24
4/14/20,7,7,The Big Show Show,TV Show,Yes,6-Apr-20,8,47
4/14/20,8,-,The Main Event,Movie,Yes,10-Apr-20,2,4
4/14/20,9,4,Angel Has Fallen,Movie,,4-Apr-20,10,60
4/14/20,10,10,Legacies,TV Show,,5-Apr-19,7,15
4/15/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,23,230
4/15/20,2,2,Ozark,TV Show,Yes,21-Jul-17,19,170
4/15/20,3,-,Code 8,Movie,,11-Apr-20,4,29
4/15/20,4,-,Chris D_____lia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,1,7
4/15/20,5,6,Money Heist,TV Show,Yes,20-Dec-17,12,72
4/15/20,6,7,All American,TV Show,,28-Mar-19,23,148
4/15/20,7,4,The Big Show Show,TV Show,Yes,6-Apr-20,9,51
4/15/20,8,-,Love Wedding Repeat,Movie,Yes,10-Apr-20,5,27
4/15/20,9,-,The Main Event,Movie,Yes,10-Apr-20,3,6
4/15/20,10,5,Angel Has Fallen,Movie,,4-Apr-20,11,61
4/16/20,1,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,24,240
4/16/20,2,2,Ozark,TV Show,Yes,21-Jul-17,20,179
4/16/20,3,-,Code 8,Movie,,11-Apr-20,5,37
4/16/20,4,-,Chris D_____lia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,2,14
4/16/20,5,-,The Innocence Files,TV Show,Yes,15-Apr-20,1,6
4/16/20,6,-,Outer Banks,TV Show,Yes,15-Apr-20,1,5
4/16/20,7,7,All American,TV Show,,28-Mar-19,24,152
4/16/20,8,6,Money Heist,TV Show,Yes,20-Dec-17,13,75
4/16/20,9,3,The Big Show Show,TV Show,Yes,6-Apr-20,10,53
4/16/20,10,4,Angel Has Fallen,Movie,,4-Apr-20,12,62
4/17/20,1,-,Despicable Me,Movie,,16-Apr-20,1,10
4/17/20,2,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,25,249
4/17/20,3,-,Outer Banks,TV Show,Yes,15-Apr-20,2,13
4/17/20,4,2,Ozark,TV Show,Yes,21-Jul-17,21,186
4/17/20,5,-,The Innocence Files,TV Show,Yes,15-Apr-20,2,12
4/17/20,6,-,Code 8,Movie,,11-Apr-20,6,42
4/17/20,7,6,All American,TV Show,,28-Mar-19,25,156
4/17/20,8,5,Money Heist,TV Show,Yes,20-Dec-17,14,78
4/17/20,9,-,Chris D_____lia: No Pain,Stand-Up Comedy,Yes,14-Apr-20,3,16
4/17/20,10,3,The Big Show Show,TV Show,Yes,6-Apr-20,11,54
4/18/20,1,-,Despicable Me,Movie,,16-Apr-20,2,20
4/18/20,2,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,26,258
4/18/20,3,-,Outer Banks,TV Show,Yes,15-Apr-20,3,21
4/18/20,4,2,Ozark,TV Show,Yes,21-Jul-17,22,193
4/18/20,5,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,1,6
4/18/20,6,-,#blackAF,TV Show,Yes,17-Apr-20,1,5
4/18/20,7,-,Code 8,Movie,,11-Apr-20,7,46
4/18/20,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,3,15
4/18/20,9,7,All American,TV Show,,28-Mar-19,26,158
4/18/20,10,5,Money Heist,TV Show,Yes,20-Dec-17,15,79
4/19/20,1,-,Despicable Me,Movie,,16-Apr-20,3,30
4/19/20,2,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,2,15
4/19/20,3,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,27,266
4/19/20,4,-,Outer Banks,TV Show,Yes,15-Apr-20,4,28
4/19/20,5,-,#blackAF,TV Show,Yes,17-Apr-20,2,11
4/19/20,6,2,Ozark,TV Show,Yes,21-Jul-17,23,198
4/19/20,7,-,The Innocence Files,TV Show,Yes,15-Apr-20,4,19
4/19/20,8,7,Code 8,Movie,,11-Apr-20,8,49
4/19/20,9,-,Waco,TV Show,,16-Apr-20,1,2
4/19/20,10,6,Money Heist,TV Show,Yes,20-Dec-17,16,80
4/20/20,1,-,Despicable Me,Movie,,16-Apr-20,4,40
4/20/20,2,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,3,24
4/20/20,3,-,Outer Banks,TV Show,Yes,15-Apr-20,5,36
4/20/20,4,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,28,273
4/20/20,5,-,#blackAF,TV Show,Yes,17-Apr-20,3,17
4/20/20,6,3,Ozark,TV Show,Yes,21-Jul-17,24,203
4/20/20,7,-,Waco,TV Show,,16-Apr-20,2,6
4/20/20,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,5,22
4/20/20,9,2,Code 8,Movie,,11-Apr-20,9,51
4/20/20,10,-,The Green Hornet,Movie,,18-Apr-20,1,1
4/21/20,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,4,34
4/21/20,2,-,Outer Banks,TV Show,Yes,15-Apr-20,6,45
4/21/20,3,-,Despicable Me,Movie,,16-Apr-20,5,48
4/21/20,4,-,Waco,TV Show,,16-Apr-20,3,13
4/21/20,5,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,29,279
4/21/20,6,-,#blackAF,TV Show,Yes,17-Apr-20,4,22
4/21/20,7,2,Ozark,TV Show,Yes,21-Jul-17,25,207
4/21/20,8,-,The Innocence Files,TV Show,Yes,15-Apr-20,6,25
4/21/20,9,5,All American,TV Show,,28-Mar-19,27,160
4/21/20,10,-,The Green Hornet,Movie,,18-Apr-20,2,2
4/22/20,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,5,44
4/22/20,2,-,Outer Banks,TV Show,Yes,15-Apr-20,7,54
4/22/20,3,-,Despicable Me,Movie,,16-Apr-20,6,56
4/22/20,4,-,Waco,TV Show,,16-Apr-20,4,20
4/22/20,5,-,#blackAF,TV Show,Yes,17-Apr-20,5,28
4/22/20,6,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,30,284
4/22/20,7,2,Ozark,TV Show,Yes,21-Jul-17,26,211
4/22/20,8,6,All American,TV Show,,28-Mar-19,28,163
4/22/20,9,-,The Innocence Files,TV Show,Yes,15-Apr-20,7,27
4/22/20,10,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,1,1
4/23/20,1,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,6,54
4/23/20,2,6,Outer Banks,TV Show,Yes,15-Apr-20,8,63
4/23/20,3,-,Waco,TV Show,,16-Apr-20,5,28
4/23/20,4,-,The Willoughbys,Movie,Yes,22-Apr-20,1,7
4/23/20,5,-,Despicable Me,Movie,,16-Apr-20,7,62
4/23/20,6,2,Ozark,TV Show,Yes,21-Jul-17,27,216
4/23/20,7,1,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,31,288
4/23/20,8,-,#blackAF,TV Show,Yes,17-Apr-20,6,31
4/23/20,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,1,2
4/23/20,10,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,2,2
4/24/20,1,-,The Willoughbys,Movie,Yes,22-Apr-20,2,17
4/24/20,2,3,Outer Banks,TV Show,Yes,15-Apr-20,9,72
4/24/20,3,-,Too Hot to Handle,TV Show,Yes,17-Apr-20,7,62
4/24/20,4,-,Waco,TV Show,,16-Apr-20,6,35
4/24/20,5,4,Ozark,TV Show,Yes,21-Jul-17,28,222
4/24/20,6,1,Despicable Me,Movie,,16-Apr-20,8,67
4/24/20,7,2,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,32,292
4/24/20,8,-,#blackAF,TV Show,Yes,17-Apr-20,7,34
4/24/20,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,2,4
4/24/20,10,-,Cooked with Cannabis,TV Show,Yes,20-Apr-20,3,3
4/25/20,1,-,Extraction,Movie,Yes,24-Apr-20,1,10
4/25/20,2,-,The Willoughbys,Movie,Yes,22-Apr-20,3,26
4/25/20,3,3,Outer Banks,TV Show,Yes,15-Apr-20,10,80
4/25/20,4,5,Too Hot to Handle,TV Show,Yes,17-Apr-20,8,69
4/25/20,5,-,Waco,TV Show,,16-Apr-20,7,41
4/25/20,6,4,Ozark,TV Show,Yes,21-Jul-17,29,227
4/25/20,7,1,Despicable Me,Movie,,16-Apr-20,9,71
4/25/20,8,2,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,33,295
4/25/20,9,-,Absurd Planet,TV Show,Yes,22-Apr-20,3,6
4/25/20,10,6,#blackAF,TV Show,Yes,17-Apr-20,8,35
4/26/20,1,-,Extraction,Movie,Yes,24-Apr-20,2,20
4/26/20,2,4,Outer Banks,TV Show,Yes,15-Apr-20,11,89
4/26/20,3,-,The Willoughbys,Movie,Yes,22-Apr-20,4,34
4/26/20,4,9,Waco,TV Show,,16-Apr-20,8,48
4/26/20,5,2,Too Hot to Handle,TV Show,Yes,17-Apr-20,9,75
4/26/20,6,3,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,34,300
4/26/20,7,6,Ozark,TV Show,Yes,21-Jul-17,30,231
4/26/20,8,-,Absurd Planet,TV Show,Yes,22-Apr-20,4,9
4/26/20,9,1,Despicable Me,Movie,,16-Apr-20,10,73
4/26/20,10,-,Django Unchained,Movie,,25-Oct-14,1,1
4/27/20,1,-,Extraction,Movie,Yes,24-Apr-20,3,30
4/27/20,2,3,Outer Banks,TV Show,Yes,15-Apr-20,12,98
4/27/20,3,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,1,8
4/27/20,4,-,The Willoughbys,Movie,Yes,22-Apr-20,5,41
4/27/20,5,7,Waco,TV Show,,16-Apr-20,9,54
4/27/20,6,2,Too Hot to Handle,TV Show,Yes,17-Apr-20,10,80
4/27/20,7,-,The Last Kingdom,TV Show,,10-Jul-16,1,4
4/27/20,8,-,Django Unchained,Movie,,25-Oct-14,2,4
4/27/20,9,6,Ozark,TV Show,Yes,21-Jul-17,31,233
4/27/20,10,4,"Tiger King: Murder, Mayhem __",TV Show,Yes,20-Mar-20,35,301
4/28/20,1,-,Extraction,Movie,Yes,24-Apr-20,4,40
4/28/20,2,2,Outer Banks,TV Show,Yes,15-Apr-20,13,107
4/28/20,3,-,The Last Kingdom,TV Show,,10-Jul-16,2,12
4/28/20,4,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,2,15
4/28/20,5,-,The Willoughbys,Movie,Yes,22-Apr-20,6,47
4/28/20,6,-,Never Have I Ever,TV Show,Yes,27-Apr-20,1,5
4/28/20,7,4,Waco,TV Show,,16-Apr-20,10,58
4/28/20,8,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,11,83
4/28/20,9,7,Ozark,TV Show,Yes,21-Jul-17,32,235
4/28/20,10,-,Django Unchained,Movie,,25-Oct-14,3,5
4/29/20,1,-,Extraction,Movie,Yes,24-Apr-20,5,50
4/29/20,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,2,14
4/29/20,3,2,Outer Banks,TV Show,Yes,15-Apr-20,14,115
4/29/20,4,-,The Last Kingdom,TV Show,,10-Jul-16,3,19
4/29/20,5,-,The Willoughbys,Movie,Yes,22-Apr-20,7,53
4/29/20,6,4,Waco,TV Show,,16-Apr-20,11,63
4/29/20,7,7,Ozark,TV Show,Yes,21-Jul-17,33,239
4/29/20,8,-,"Coronavirus, Explained",TV Show,Yes,26-Apr-20,3,18
4/29/20,9,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,12,85
4/29/20,10,-,Django Unchained,Movie,,25-Oct-14,4,6
4/30/20,1,-,Never Have I Ever,TV Show,Yes,27-Apr-20,3,24
4/30/20,2,-,Extraction,Movie,Yes,24-Apr-20,6,59
4/30/20,3,2,Outer Banks,TV Show,Yes,15-Apr-20,15,123
4/30/20,4,-,The Last Kingdom,TV Show,,10-Jul-16,4,26
4/30/20,5,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,1,6
4/30/20,6,4,The Willoughbys,Movie,Yes,22-Apr-20,8,58
4/30/20,7,3,Waco,TV Show,,16-Apr-20,12,67
4/30/20,8,6,Ozark,TV Show,Yes,21-Jul-17,34,242
4/30/20,9,-,Django Unchained,Movie,,25-Oct-14,5,8
4/30/20,10,1,Too Hot to Handle,TV Show,Yes,17-Apr-20,13,86
5/1/20,1,-,Never Have I Ever,TV Show,Yes,27-Apr-20,4,34
5/1/20,2,-,Dangerous Lies,Movie,Yes,30-Apr-20,1,9
5/1/20,3,2,Outer Banks,TV Show,Yes,15-Apr-20,16,131
5/1/20,4,-,Extraction,Movie,Yes,24-Apr-20,7,66
5/1/20,5,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,2,12
5/1/20,6,-,The Last Kingdom,TV Show,,10-Jul-16,5,31
5/1/20,7,1,The Willoughbys,Movie,Yes,22-Apr-20,9,62
5/1/20,8,4,Waco,TV Show,,16-Apr-20,13,70
5/1/20,9,5,Ozark,TV Show,Yes,21-Jul-17,35,244
5/1/20,10,3,Too Hot to Handle,TV Show,Yes,17-Apr-20,14,87
5/2/20,1,-,Dangerous Lies,Movie,Yes,30-Apr-20,2,19
5/2/20,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,5,43
5/2/20,3,3,Outer Banks,TV Show,Yes,15-Apr-20,17,139
5/2/20,4,1,Extraction,Movie,Yes,24-Apr-20,8,73
5/2/20,5,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,3,18
5/2/20,6,-,The Last Kingdom,TV Show,,10-Jul-16,6,36
5/2/20,7,2,The Willoughbys,Movie,Yes,22-Apr-20,10,66
5/2/20,8,-,All Day and a Night,Movie,Yes,1-May-20,1,3
5/2/20,9,6,Ozark,TV Show,Yes,21-Jul-17,36,246
5/2/20,10,5,Waco,TV Show,,16-Apr-20,14,71
5/3/20,1,-,Dangerous Lies,Movie,Yes,30-Apr-20,3,29
5/3/20,2,-,Never Have I Ever,TV Show,Yes,27-Apr-20,6,52
5/3/20,3,2,Outer Banks,TV Show,Yes,15-Apr-20,18,147
5/3/20,4,1,Extraction,Movie,Yes,24-Apr-20,9,80
5/3/20,5,-,All Day and a Night,Movie,Yes,1-May-20,2,9
5/3/20,6,-,Hollywood,TV Show,Yes,1-May-20,1,5
5/3/20,7,-,Den of Thieves,Movie,,1-May-20,1,4
5/3/20,8,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,4,21
5/3/20,9,-,The Half of It,Movie,Yes,1-May-20,1,2
5/3/20,10,-,The Last Kingdom,TV Show,,10-Jul-16,7,37
5/4/20,1,-,Dangerous Lies,Movie,Yes,30-Apr-20,4,39
5/4/20,2,2,Outer Banks,TV Show,Yes,15-Apr-20,19,156
5/4/20,3,-,Hollywood,TV Show,Yes,1-May-20,2,13
5/4/20,4,-,All Day and a Night,Movie,Yes,1-May-20,3,16
5/4/20,5,-,Never Have I Ever,TV Show,Yes,27-Apr-20,7,58
5/4/20,6,1,Extraction,Movie,Yes,24-Apr-20,10,85
5/4/20,7,-,Den of Thieves,Movie,,1-May-20,2,8
5/4/20,8,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,5,24
5/4/20,9,7,The Last Kingdom,TV Show,,10-Jul-16,8,39
5/4/20,10,-,The Half of It,Movie,Yes,1-May-20,2,3
5/5/20,1,2,Outer Banks,TV Show,Yes,15-Apr-20,20,166
5/5/20,2,-,Dangerous Lies,Movie,Yes,30-Apr-20,5,48
5/5/20,3,-,Hollywood,TV Show,Yes,1-May-20,3,21
5/5/20,4,6,Never Have I Ever,TV Show,Yes,27-Apr-20,8,65
5/5/20,5,-,All Day and a Night,Movie,Yes,1-May-20,4,22
5/5/20,6,-,Den of Thieves,Movie,,1-May-20,3,13
5/5/20,7,1,Extraction,Movie,Yes,24-Apr-20,11,89
5/5/20,8,-,Arctic Dogs,Movie,,4-May-20,1,3
5/5/20,9,3,The Last Kingdom,TV Show,,10-Jul-16,9,41
5/5/20,10,-,Murder to Mercy: The Cyntoi__,Movie,Yes,29-Apr-20,6,25
5/6/20,1,3,Outer Banks,TV Show,Yes,15-Apr-20,21,176
5/6/20,2,-,Hollywood,TV Show,Yes,1-May-20,4,30
5/6/20,3,-,Arctic Dogs,Movie,,4-May-20,2,11
5/6/20,4,-,Dangerous Lies,Movie,Yes,30-Apr-20,6,55
5/6/20,5,2,Never Have I Ever,TV Show,Yes,27-Apr-20,9,71
5/6/20,6,-,Jerry Seinfeld: 23 Hours to__,Stand-Up Comedy,Yes,5-May-20,1,5
5/6/20,7,-,All Day and a Night,Movie,Yes,1-May-20,5,26
5/6/20,8,-,Den of Thieves,Movie,,1-May-20,4,16
5/6/20,9,1,Extraction,Movie,Yes,24-Apr-20,12,91
5/6/20,10,4,The Last Kingdom,TV Show,,10-Jul-16,10,42
5/7/20,1,3,Outer Banks,TV Show,Yes,15-Apr-20,22,186
5/7/20,2,-,Hollywood,TV Show,Yes,1-May-20,5,39
5/7/20,3,-,Jerry Seinfeld: 23 Hours to__,Stand-Up Comedy,Yes,5-May-20,2,13
5/7/20,4,1,Never Have I Ever,TV Show,Yes,27-Apr-20,10,78
5/7/20,5,-,Becoming,Movie,Yes,6-May-20,1,6
5/7/20,6,-,Dangerous Lies,Movie,Yes,30-Apr-20,7,60
5/7/20,7,-,Workin____ Moms,TV Show,Yes,22-Feb-19,1,4
5/7/20,8,-,Arctic Dogs,Movie,,4-May-20,3,14
